userId,movieId,score
1,1,5.0
1,2,4.0
1,3,5.0
1,8,4.5
1,11,4.0
1,12,5.0
2,1,4.0
2,3,5.0
2,4,3.0
2,8,5.0
2,16,4.5
2,18,4.0
3,1,5.0
3,2,5.0
3,4,4.0
3,5,3.0
3,13,5.0
3,14,4.5
4,6,5.0
4,7,5.0
4,9,4.5
4,11,4.5
4,12,5.0
4,26,4.0
5,2,4.5
5,10,4.5
5,18,5.0
5,21,4.0
5,25,4.5
5,29,5.0
6,13,5.0
6,14,5.0
6,15,4.5
6,20,5.0
6,23,4.0
6,24,4.5
7,8,5.0
7,17,4.5
7,19,4.0
7,22,4.5
7,28,4.5
7,34,4.0
8,3,4.5
8,6,4.5
8,12,5.0
8,16,5.0
8,30,4.5
8,31,4.0
9,4,4.0
9,10,4.5
9,11,5.0
9,18,4.5
9,25,4.0
9,27,5.0
10,2,5.0
10,5,4.0
10,7,4.5
10,13,4.5
10,15,4.0
10,33,4.5
11,1,4.5
11,3,4.5
11,8,5.0
11,19,4.5
11,22,4.0
11,35,4.5
12,6,5.0
12,9,5.0
12,12,4.5
12,26,4.5
12,36,4.0
12,37,4.5
13,14,5.0
13,15,4.5
13,20,5.0
13,23,4.5
13,24,4.0
13,30,5.0
14,7,4.5
14,10,5.0
14,17,4.0
14,25,4.5
14,27,5.0
14,29,4.5
15,1,3.5
15,4,4.0
15,11,4.5
15,18,5.0
15,21,4.5
15,27,4.5
16,2,4.0
16,5,3.5
16,13,4.5
16,14,4.0
16,16,4.5
16,32,4.0
17,3,5.0
17,8,4.5
17,12,5.0
17,17,4.0
17,28,4.5
17,34,4.0
18,6,4.5
18,9,4.5
18,15,4.0
18,26,4.5
18,36,4.0
18,37,4.5
19,1,4.0
19,11,4.5
19,19,4.0
19,22,4.5
19,30,5.0
19,35,4.5
20,2,4.5
20,10,4.0
20,18,4.5
20,21,4.5
20,25,5.0
20,29,4.5
21,4,4.5
21,13,5.0
21,14,4.5
21,20,5.0
21,23,4.5
21,24,4.0
22,7,4.0
22,12,4.5
22,16,5.0
22,31,4.5
22,32,4.0
22,33,4.5
23,1,5.0
23,3,4.5
23,8,5.0
23,11,4.0
23,19,4.5
23,22,4.5
24,2,4.5
24,5,4.0
24,10,4.5
24,18,5.0
24,27,4.5
24,29,4.0
25,6,4.5
25,9,5.0
25,12,4.5
25,15,4.0
25,26,4.5
25,37,4.0
26,3,4.5
26,13,4.0
26,14,5.0
26,20,4.5
26,23,4.0
26,30,4.5
27,1,4.0
27,4,4.5
27,8,4.5
27,17,4.0
27,22,5.0
27,28,4.0
28,2,4.0
28,7,4.5
28,9,4.0
28,12,5.0
28,25,4.5
28,27,4.0
29,11,4.5
29,15,4.0
29,18,5.0
29,21,4.5
29,24,4.0
29,30,5.0
30,1,3.5
30,3,4.0
30,8,4.5
30,16,4.0
30,31,4.5
30,33,4.0
31,6,5.0
31,7,4.5
31,10,4.0
31,12,5.0
31,26,4.5
31,36,4.0
32,2,4.5
32,13,4.5
32,14,4.0
32,20,5.0
32,23,4.5
32,35,4.0
33,4,4.0
33,11,4.5
33,18,4.5
33,19,4.0
33,27,5.0
33,29,4.5
34,3,4.5
34,8,5.0
34,17,4.0
34,22,4.5
34,28,4.0
34,34,4.5
35,1,4.0
35,12,4.5
35,16,5.0
35,30,4.5
35,31,4.0
35,33,4.5
